rank,lemma,pos_kelly,pos_ud,english
4956,økonom,n,NOUN,economist
4957,vokal,n,NOUN,vowel
4958,iransk,v,VERB,Iranian
4959,bolle,n,NOUN,bun
4960,eksplisitt,adj,ADJ,explicit
4961,mestring,n,NOUN,mastering
4962,trofast,adj,ADJ,loyal
4963,aldersgruppe,n,NOUN,age group
4964,fundament,n,NOUN,foundation
4965,ujevn,adj,ADJ,uneven
4966,lun,adj,ADJ,warm
4967,ryste,v,VERB,shake
4968,kommentarfelt,v,VERB,comment field
4969,ambulanse,n,NOUN,ambulance
4970,folkemord,n,NOUN,genocide
4971,mirakel,n,NOUN,miracle
4972,weekend,n,NOUN,weekend
4973,lokalbefolkning,n,NOUN,local community
4974,julebord,n,NOUN,Christmas table
4975,kjempefin,adj,ADJ,great
4976,sjalu,adj,ADJ,jealous
4977,forurense,adj,ADJ,pollute
4978,kulturminister,n,NOUN,minister for culture
4979,barnehageplass,n,NOUN,kindergarten place
4980,bortover,prep,PREP,along
